number	name	team	height	weight	position	birthdate
9	许梦君	北京紫禁勇士	196CM/6尺5寸	78KG / 172磅	得分后卫	1998年
8	陈金龙	北京紫禁勇士	195CM/6尺5寸	85KG / 187磅	得分后卫	1992年08月22日
10	赵睿	广东华南虎	194CM/6尺4寸	90.7KG / 200磅	组织后卫	1996年1月14日
6	李天戈	八一火箭	196CM/6尺5寸	90.9KG / 200磅	组织后卫	1996年8月25日
7	田宇翔	八一火箭	182CM/6尺0寸	82.4KG / 181磅	组织后卫	1992年8月17日
5	阿尔斯兰	八一火箭	184CM/6尺0寸	83.5KG / 184磅	组织后卫	1996年9月24日
33	韩硕	八一火箭	196CM/6尺5寸	93.9KG / 207磅	组织后卫	1986年5月14日
10	刘晓宇	北京鸭	190CM/6尺3寸	80.2KG / 176磅	组织后卫	1989年03月14日
7	林书豪	北京鸭	192CM/6尺4寸	100KG / 220磅	组织后卫	1988年8月23日
4	王旭	北京鸭	180CM/5尺11寸	75.8KG / 167磅	组织后卫	1995年7月15日
8	方硕	北京鸭	188CM/6尺2寸	80KG / 176磅	组织后卫	1990年9月7日
4	史鸿飞	江苏龙	179CM/5尺10寸	76.2KG / 168磅	组织后卫	1993年01月01日
13	王洪	江苏龙	182CM/6尺0寸	73.5KG / 162磅	组织后卫	1992年8月20日
20	西热力江	新疆飞虎	186CM/6尺1寸	90.7KG / 200磅	组织后卫	1991年1月13日
6	曾令旭	新疆飞虎	192CM/6尺4寸	84.7KG / 186磅	组织后卫	1987年04月12日
3	赵继伟	辽宁飞豹	185CM/6尺1寸	74KG / 163磅	组织后卫	1995年8月25日
0	高诗岩	辽宁飞豹	186CM/6尺1寸	75.4KG / 166磅	组织后卫	1996年1月22日
13	郭艾伦	辽宁飞豹	192CM/6尺4寸	85KG / 187磅	组织后卫	1993年11月14日
1	刘天意	吉林东北虎	191CM/6尺3寸	87.9KG / 193磅	组织后卫	1994年6月15日
5	孟令源	上海大鲨鱼	187CM/6尺2寸	91KG / 200磅	组织后卫	1989年2月16日
13	罗旭东	上海大鲨鱼	184CM/6尺0寸	80.9KG / 178磅	组织后卫	1988年1月13日
33	罗汉琛	上海大鲨鱼	184CM/6尺0寸	79.1KG / 174磅	组织后卫	1994年08月23日
47	施宇晨	上海大鲨鱼	192CM/6尺4寸	90.5KG / 199磅	组织后卫	1995年1月14日
13	刘洺宇	福建中华鲟	192CM/6尺4寸	88KG / 194磅	组织后卫	1991年08月04日
0	徐铭智	福建中华鲟	184CM/6尺0寸	65.7KG / 145磅	组织后卫	1997年2月5日
19	谢亚财	福建中华鲟	180CM/5尺11寸	85.1KG / 187磅	组织后卫	1988年01月26日
3	泰-劳森	福建中华鲟	180CM/5尺11寸	88kgKG / 194磅	组织后卫	1987年11月3日
29	曹飞	福建中华鲟	194CM/6尺4寸	86KG / 189磅	组织后卫	1991年05月04日
33	吴前	浙江金牛	191CM/6尺3寸	86KG / 189磅	组织后卫	1994年07月07日
14	莱斯特-哈德森	山东王者	191CM/6尺3寸	86KG / 189磅	组织后卫	1984年08月07日
24	王汝恒	山东王者	194CM/6尺4寸	90.6KG / 199磅	组织后卫	1990年02月24日
17	文雁行	山东王者	183CM/6尺0寸	72.6KG / 160磅	组织后卫	1995年3月17日
9	张庆鹏	山东王者	188CM/6尺2寸	87.7KG / 193磅	组织后卫	1981年3月28日
1	姚天一	广州龙狮	180CM/5尺11寸	77.3KG / 170磅	组织后卫	1994年9月1日
33	刘春庆	深圳领航者	191CM/6尺3寸	78KG / 172磅	组织后卫	1997年5月10日
6	杨林祎	深圳领航者	187CM/6尺2寸	79KG / 174磅	组织后卫	1995年1月26日
19	于德豪	深圳领航者	190CM/6尺3寸	89.9KG / 198磅	组织后卫	1995年6月5日
19	孙伟博	山西猛龙	192CM/6尺4寸	83.7KG / 184磅	组织后卫	1989年03月15日
55	任鹏鹏	山西猛龙	185CM/6尺1寸	79.8KG / 176磅	组织后卫	1994年6月18日
0	田桂森	山西猛龙	187CM/6尺2寸	86.6KG / 191磅	组织后卫	1994年11月10日
2	张涵钧	山西猛龙	181CM/5尺11寸	83.8KG / 184磅	组织后卫	1992年8月25日
17	孙铭徽	浙江猛狮	185CM/6尺1寸	76.9KG / 169磅	组织后卫	1996年4月26日
6	阿隆-杰克逊	浙江猛狮	191CM/6尺3寸	83KG / 183磅	组织后卫	1986年5月6日
0	史仪	天津先行者	182CM/6尺0寸	78.3KG / 172磅	组织后卫	1996年4月20日
17	田野	天津先行者	185CM/6尺1寸	77.3KG / 170磅	组织后卫	1990年08月17日
3	许家晗	青岛雄鹰	185CM/6尺1寸	86.0KG / 189磅	组织后卫	1993年8月21日
1	杨金蒙	青岛雄鹰	191CM/6尺3寸	91.3KG / 201磅	组织后卫	1995年6月26日
30	赵大鹏	青岛雄鹰	195CM/6尺5寸	85KG / 187磅	组织后卫	1990年8月7日
6	张骋宇	青岛雄鹰	192CM/6尺4寸	72.2KG / 159磅	组织后卫	1989年3月6日
4	达柳斯-亚当斯	青岛雄鹰	185CM/6尺1寸	75KG / 165磅	组织后卫	1989年4月17日
16	王政博	四川蓝鲸	188CM/6尺2寸	79.7KG / 175磅	组织后卫	1996年10月21日
4	考特尼-福特森	四川蓝鲸	180CM/5尺11寸	84KG / 185磅	组织后卫	1988年5月23日
11	冯欣	南京大圣	182CM/6尺0寸	71.4KG / 157磅	组织后卫	1992年5月26日
28	王子瑞	北京紫禁勇士	188CM/6尺2寸	77.6KG / 171磅	组织后卫	1993年3月28日
3	张帆	北京紫禁勇士	193CM/6尺4寸	84.0KG / 185磅	组织后卫	1996年1月2日
23	班铎	北京紫禁勇士	180CM/5尺11寸	70kgKG / 154磅	组织后卫	1995年9月16日
7	常亚松	北京紫禁勇士	184CM/6尺0寸	76.9KG / 169磅	组织后卫	1990年2月18日
18	凯尔-福格	北京紫禁勇士	191CM/6尺3寸	85公斤KG / 187磅	组织后卫	1990年1月27日
