青岛雄鹰	city	青岛
山东王者	city	济南
上海大鲨鱼	city	上海
山西猛龙	city	太原
深圳领航者	city	深圳
四川蓝鲸	city	成都
天津先行者	city	天津
南京大圣	city	南京
新疆飞虎	city	乌鲁木齐
浙江金牛	city	杭州
浙江金牛	league	CBA
新疆飞虎	league	CBA
南京大圣	league	CBA
天津先行者	league	CBA
四川蓝鲸	league	CBA
深圳领航者	league	CBA
山西猛龙	league	CBA
上海大鲨鱼	league	CBA
山东王者	league	CBA
青岛雄鹰	league	CBA
辽宁飞豹	league	CBA
吉林东北虎	league	CBA
江苏龙	league	CBA
广州龙狮	league	CBA
浙江猛狮	league	CBA
福建中华鲟	league	CBA
北京紫禁勇士	league	CBA
广东华南虎	league	CBA
北京鸭	league	CBA
八一火箭	league	CBA
